product name,ratings,date,asin,target
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,13/07/2018,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,27/06/2018,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,05/10/2017,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,24/11/2015,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,19/07/2018,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,13/08/2018,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,21/01/2018,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,17/02/2017,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",2,28/10/2018,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",3,29/11/2018,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,22/02/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,25/08/2019,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,14/11/2018,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",4,23/02/2019,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,05/08/2018,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,04/07/2019,B000P22TIY,n
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,03/07/2020,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,25/10/2017,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",5,08/09/2015,B000P22TIY,p
"Nautica Voyage By Nautica For Men. Eau De Toilette Spray, 100 ml",1,14/03/2019,B000P22TIY,n
